# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 02 21:10:47 PDT 2023 [seed=1683087046578]
# -save_state saved_state -save_every 100000 -threads 1 -beagle_GPU -beagle_cuda -beagle_scaling dynamic infile.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
115000	-24911.027083146586	-224.51395915396134	-24686.513123992623	0.9095505711144951	20.239360424347783	4.088882643645407	1.0	1.0	-24686.513123992623	0.0	-223.10568741349317
116000	-24920.987512165637	-224.37586671309782	-24696.61164545254	1.0056454209463817	20.433656579927067	4.749943910089961	1.0	1.0	-24696.61164545254	0.0	-222.8177339035231
117000	-24912.13957158936	-223.31579551188713	-24688.823776077472	0.9457443176555476	20.10422277349552	4.048701627842489	1.0	1.0	-24688.823776077472	0.0	-221.91739926788517
118000	-24926.8555141798	-219.59763475477286	-24707.257879425026	0.9013407906408389	19.516910499861943	4.3031136874721865	1.0	1.0	-24707.257879425026	0.0	-218.13829588075131
119000	-24918.591994173938	-224.0965764346324	-24694.495417739305	0.9345564093797943	20.202031979003554	4.285846937815376	1.0	1.0	-24694.495417739305	0.0	-222.64125825034765
120000	-24921.33125473023	-222.66597431135756	-24698.665280418874	0.9504719119619203	19.9743404217759	4.638791553909527	1.0	1.0	-24698.665280418874	0.0	-221.1315204200078
121000	-24925.155517045056	-227.38919335364764	-24697.76632369141	0.9025229736405185	20.75555873043884	4.235239545640528	1.0	1.0	-24697.76632369141	0.0	-225.9457534638279
122000	-24908.16323546714	-224.73865366561108	-24683.424581801526	0.9226583551078483	20.373318360069916	4.911814367564556	1.0	1.0	-24683.424581801526	0.0	-223.14701026709994
123000	-24917.979522433983	-224.4989571730299	-24693.480565260954	1.0061108739428313	20.486574246155506	4.274376305513535	1.0	1.0	-24693.480565260954	0.0	-223.0463189747318
124000	-24910.23527758231	-223.0685018633006	-24687.166775719008	0.8918111498710024	20.01457132427555	3.947500592543352	1.0	1.0	-24687.166775719008	0.0	-221.69541924604698
125000	-24924.224410234674	-223.31036743646334	-24700.91404279821	0.9553955140816818	20.26264915494752	4.3506630961579935	1.0	1.0	-24700.91404279821	0.0	-221.84003916708153
